rank,listing_id,addr,lat,lng,floor,deposit_만원,monthly_rent_만원,size_평,flpop_lunch,flpop_dinner,flpop_etc,dist_station,dist_bus_stop,cnt_crosswalk,is_road,cnt_academy,cnt_hospital,cnt_school,cnt_company,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,location_score,success_prob
950,543878,서울특별시 강남구 신사동,37.5205957256,127.029682871,5층,10000.0,700.0,56.0,265091.5,267129.0,233949.25,656.4312256681825,84.45778232033948,14,0,0,2,0,0,0,3,3,20,0.26730105660710074,0.42646092594161417
951,913166,서울특별시 강남구 논현동,37.5190464147,127.0279854819,3층,3000.0,150.0,22.0,265091.5,267129.0,233949.25,619.6987431681516,88.49659392391894,16,0,0,2,0,0,0,1,2,19,0.2648509720821045,0.42632154024715135
952,918450,서울특별시 강남구 논현동,37.5165475847772,127.032834902062,1층,10000.0,530.0,60.5,170020.75,157445.0,156660.375,286.97791280660726,208.48234691881302,13,0,0,1,0,0,0,1,2,22,0.22610273798181502,0.42625193194361327
953,910988,서울특별시 강남구 논현동,37.5171294319,127.0393868044,2층,9000.0,1000.0,56.9,316236.0,342827.25,274934.6875,170.14826356980592,52.75945015253444,13,0,2,0,0,0,0,2,1,25,0.32280388006804445,0.4257426778404647
954,919782,서울특별시 강남구 논현동,37.5171294319,127.0393868044,2층,9000.0,1000.0,56.9,316236.0,342827.25,274934.6875,170.14826356980592,52.75945015253444,13,0,2,0,0,0,0,2,1,25,0.32280388006804445,0.4257426778404647
955,915163,서울특별시 강남구 논현동,37.5077844175538,127.02554281175,1층,2000.0,180.0,18.0,589152.0,788268.0,560948.125,512.4982950882663,225.22168614243864,9,0,0,1,1,0,0,5,3,33,0.37834643187157163,0.42544087178424084
956,920144,서울특별시 강남구 논현동,37.5077844175538,127.02554281175,1층,2000.0,180.0,17.0,589152.0,788268.0,560948.125,512.4982950882663,225.22168614243864,9,0,0,1,1,0,0,5,3,33,0.37834643187157163,0.42544087178424084
957,923118,서울특별시 강남구 신사동,37.5198900551,127.0266826588,5층,3000.0,320.0,32.0,265091.5,267129.0,233949.25,682.521987567284,137.6616605154663,12,0,0,2,0,0,0,1,3,28,0.2526098368137415,0.42536609966958044
958,490693,서울특별시 강남구 신사동,37.5198900551,127.0266826588,지하1층,9000.0,795.0,50.0,265091.5,267129.0,233949.25,682.521987567284,137.6616605154663,12,0,0,2,0,0,0,1,3,28,0.2526098368137415,0.42536609966958044
959,895753,서울특별시 강남구 논현동,37.5172807839,127.0394366549,5층,2500.0,210.0,15.0,316236.0,342827.25,274934.6875,165.90350851674808,57.34877872428585,13,0,2,0,0,0,0,2,1,25,0.3222141594324559,0.42536011279466474
