listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd,flpop_lunch,flpop_dinner,flpop_etc,cnt_academy,cnt_hospital,cnt_school,cnt_company,dist_station,dist_bus_stop,cnt_crosswalk,is_road,floor_score,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,actual_rent,rent_index,startup_cost,coverage,rent_score,capital_score,cost_score,location_score,recom_score,rank
921912,서울특별시 강남구 역삼동,37.507269423,127.0376036824,사무실,월세,0,0,30000000,2300000,250000,66.1157,3,T,3120194,11680640,319506.5,309264.5,303520.875,0,1,0,0,293.4145551117507,134.059377078803,13,1,0.6,0,2,5,22,2550000,0.3948248940441669,46769345.72727273,1.0,9.778999540567558,15.0,24.778999540567558,0.8044025880217794,85.10919364220102,533
915939,서울특별시 강남구 논현동,37.5088273617,127.0343109065,사무실,월세,0,0,100000000,5000000,990000,200.0,2,T,3120194,11680531,319506.5,309264.5,303520.875,1,3,0,0,153.67379078685636,80.94651338462494,15,1,0.8,0,1,5,22,5990000,1.2169774349243019,150727272.72727272,0.7961399276236429,9.318805434271578,11.942098914354645,21.260904348626223,0.846872432522643,84.77633678782445,555
921909,서울특별시 강남구 역삼동,37.507269423,127.0376036824,사무실,월세,0,0,30000000,2500000,250000,82.6446,3,T,3120194,11680640,319506.5,309264.5,303520.875,0,1,0,0,293.4145551117507,134.059377078803,13,1,0.6,0,2,5,22,2750000,0.4257915524005721,50961675.81818182,1.0,9.761666171200307,15.0,24.761666171200307,0.8044025880217794,85.09186027283377,534
921903,서울특별시 강남구 논현동,37.5060365108,127.0253431625,카페/커피,월세,0,35000000,20000000,2100000,100000,32.9917,1,T,3120187,11680521,589152.0,788268.0,560948.125,0,1,1,0,659.676995541269,109.49558758237298,18,1,1.0,0,6,5,28,2200000,0.41069753289890715,63367894.81818182,1.0,9.770114942528735,15.0,24.770114942528735,0.9386034301274493,95.16537220208743,47
921899,서울특별시 강남구 역삼동,37.5061737085,127.037892666,사무실,월세,0,0,30000000,1500000,100000,21.4876,1,T,3110965,11680640,129679.0,133226.0,146047.5,0,1,0,0,348.2586912846443,208.79051227157296,12,1,1.0,0,1,3,27,1600000,0.24773326685124195,35450036.72727273,1.0,9.861333045061997,15.0,24.861333045061997,0.676140363055576,75.5718602742302,980
921883,서울특별시 강남구 논현동,37.5083317844,127.0275200245,가구/가전,월세,0,10000000,20000000,1900000,10000,29.7521,1,T,3110955,11680521,318800.0,380357.25,434233.75,0,0,1,0,604.7809840891665,332.3550296114159,1,1,1.0,0,0,3,23,1910000,0.3565601308349603,37546214.45454545,1.0,9.800417972831767,15.0,24.800417972831767,0.7916495967419689,84.17413772847942,586
921018,서울특별시 강남구 논현동,37.5090851526752,127.026963832702,기타,월세,0,30000000,40000000,2750000,200000,134.208,2,T,3110955,11680521,318800.0,380357.25,434233.75,0,0,1,0,523.7133806069726,403.73140583764564,0,1,0.8,0,0,2,27,2950000,0.55070805547808,104040029.0909091,1.0,9.691745036572623,15.0,24.691745036572623,0.7201482914568668,78.70286689583763,841
920571,서울특별시 강남구 논현동,37.5091454388206,127.027317076349,한식/고기집,월세,0,30000000,20000000,1600000,0,40.0,1,T,3110955,11680521,318800.0,380357.25,434233.75,0,0,1,0,548.9123476265557,423.8556740958115,0,1,1.0,0,0,2,22,1600000,0.2986891148355688,60145454.54545455,1.0,9.832810867293626,15.0,24.832810867293624,0.7490467853411205,81.01131976787767,748
916703,서울특별시 강남구 논현동,37.5102507364,127.0350354305,사무실,월세,0,0,30000000,2000000,300000,99.1736,3,T,3110961,11680531,187742.25,204765.25,252216.625,0,2,0,0,318.879837063801,126.23877319679498,8,1,0.6,0,0,5,14,2300000,0.46728682810115096,55154031.27272727,1.0,9.738439482274563,15.0,24.738439482274565,0.6885493011478871,76.3796370683661,949
921916,서울특별시 강남구 논현동,37.5090851526752,127.026963832702,일식/해산물,월세,0,40000000,50000000,3510000,0,39.6694,1,T,3110955,11680521,318800.0,380357.25,434233.75,0,0,1,0,523.7133806069726,403.73140583764564,0,1,1.0,0,0,2,27,3510000,0.6552492456705291,100061602.36363637,1.0,9.633228840125392,15.0,24.63322884012539,0.755333476642052,81.28323958827929,739
917083,서울특별시 강남구 논현동,37.5089106922,127.0327682189,사무실,월세,0,0,30000000,3000000,800000,99.1736,5,T,3120194,11680521,319506.5,309264.5,303520.875,1,3,0,0,210.80088944938498,80.88044161917588,14,1,0.19999999999999996,0,1,3,23,3800000,0.709386647734476,55154031.27272727,1.0,9.602925809822361,15.0,24.60292580982236,0.6977538750485511,76.93446643846369,908
917081,서울특별시 강남구 논현동,37.5091630322799,127.032555694774,사무실,월세,0,0,20000000,1900000,300000,105.8,1,T,3120194,11680521,319506.5,309264.5,303520.875,1,2,0,0,244.40485263319331,113.21145871628674,13,1,1.0,0,0,3,22,2200000,0.41069753289890715,46834727.27272727,1.0,9.770114942528735,15.0,24.770114942528735,0.8762456659893614,90.48853989173084,209
917075,서울특별시 강남구 논현동,37.5079520758,127.0325777892,사무실,월세,0,0,50000000,3000000,1000000,148.4298,4,T,3120194,11680521,319506.5,309264.5,303520.875,1,3,0,0,160.75608411635068,69.14610844938393,14,1,0.3999999999999999,0,1,4,17,4000000,0.7467227870889221,87647194.72727272,1.0,9.582027168234065,15.0,24.582027168234063,0.7422984838238588,80.25441345502347,779
