listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd,flpop_lunch,flpop_dinner,flpop_etc,cnt_academy,cnt_hospital,cnt_school,cnt_company,dist_station,dist_bus_stop,cnt_crosswalk,is_road,floor_score,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,actual_rent,rent_index,startup_cost,coverage,rent_score,capital_score,cost_score,location_score,recom_score,rank
923533,서울특별시 강남구 논현동,37.5083846065719,127.028185537597,기타,월세,0,0,30000000,2000000,200000,49.59,4.0,T,3110955,11680521,318800.0,380357.25,434233.75,0,0,1,0,548.034506711172,323.5864763844598,0,1,0.3999999999999999,0,0,2,21,2200000,0.4100002535561247,42577827.27272727,1.0,9.770114942528735,15.0,24.770114942528735,0.6443757839042847,73.09829873535008,1034
917977,서울특별시 강남구 논현동,37.5136913380466,127.033387325488,기타,월세,0,0,40000000,3100000,200000,99.17,2.0,T,3120191,11680531,378147.0,391751.0,381067.3125,0,2,0,0,179.06635732585374,156.53240262756825,15,1,0.8,0,2,3,19,3300000,0.6670516892867456,65153118.18181819,1.0,9.625987509524805,15.0,24.625987509524805,0.8917198629458462,91.50497723046327,112
925352,서울특별시 강남구 논현동,37.5098109721,127.0352840547,기타,월세,0,0,50000000,2900000,100000,99.17,1.0,T,3110961,11680531,187742.25,204765.25,252216.625,1,1,0,0,277.4067052995165,158.41190050304482,12,1,1.0,0,1,5,17,3000000,0.6064106266243141,75153118.18181819,1.0,9.659988645022551,15.0,24.65998864502255,0.7685775007293622,82.30330119972471,653
926496,서울특별시 강남구 논현동,37.508691088501,127.031885921668,기타,월세,0,0,30000000,2700000,300000,82.64,6.0,T,3120194,11680521,319506.5,309264.5,303520.875,1,2,0,0,252.8914810002303,144.81055449989995,14,1,0.0,0,1,3,21,3000000,0.5590912548492609,50960509.09090909,1.0,9.68652037617555,15.0,24.68652037617555,0.6350611811142692,72.31610895974575,1058
926494,서울특별시 강남구 논현동,37.5170832751892,127.037810177888,기타,월세,0,0,60000000,4600000,680000,92.56,2.0,T,3120203,11680531,316236.0,342827.25,274934.6875,2,0,0,0,308.14235873572585,188.44509815831233,13,1,0.8,0,2,2,18,5280000,1.067282702858793,83476581.81818181,1.0,9.40158001523969,15.0,24.401580015239688,0.8248053626663319,86.26198221521457,384
906169,서울특별시 강남구 신사동,37.5183737945,127.0216551843,기타,월세,0,0,50000000,3700000,100000,105.6,4.0,T,3120186,11680510,373769.5,469697.75,332457.375,1,2,0,0,245.60734351145794,113.54202179685733,4,1,0.3999999999999999,0,3,4,34,3800000,0.6720715367092548,76784000.0,1.0,9.623172906599049,15.0,24.62317290659905,0.8166344928613082,85.87075987119717,412
906683,서울특별시 강남구 논현동,37.5071853999561,127.028804424818,기타,월세,0,0,50000000,5000000,500000,146.1,3.0,T,3110955,11680521,318800.0,380357.25,434233.75,0,0,1,0,484.2715710320897,186.1757661752355,4,1,0.6,0,1,1,18,5500000,1.0250006338903117,87056272.72727272,1.0,9.425287356321839,15.0,24.42528735632184,0.8017476479566247,84.55636095306869,510
907103,서울특별시 강남구 논현동,37.5071853999561,127.028804424818,기타,월세,0,0,50000000,5000000,500000,146.1,3.0,T,3110955,11680521,318800.0,380357.25,434233.75,0,0,1,0,484.2715710320897,186.1757661752355,4,1,0.6,0,1,1,18,5500000,1.0250006338903117,87056272.72727272,1.0,9.425287356321839,15.0,24.42528735632184,0.8017476479566247,84.55636095306869,511
901996,서울특별시 강남구 신사동,37.5212377359,127.0276378856,기타,월세,0,0,200000000,11000000,0,226.81,6.0,T,3120190,11680510,265091.5,267129.0,233949.25,0,2,0,0,582.2121667071856,163.3950377966003,13,1,0.0,0,2,3,28,11000000,1.9454702378425797,257527263.63636363,0.4659700814025022,8.909184729628821,6.989551221037533,15.898735950666353,0.5716700707343111,58.77399125573969,1266
920052,서울특별시 강남구 논현동,37.5111689919,127.0236166309,기타,월세,0,0,65000000,4200000,800000,149.73,4.0,T,3120185,11680521,388874.5,478718.0,397097.625,0,4,0,0,172.8026925605179,76.9324848514431,10,1,0.3999999999999999,0,3,1,31,5000000,0.9318187580821016,102976972.72727272,1.0,9.47753396029258,15.0,24.477533960292583,0.8108895352485549,85.29424910393419,455
